text,label
"I love this movie",1
"This is terrible",0
"Absolutely fantastic film",1
"Worst movie ever seen",0
"Great performance by the cast",1
"I hated every minute of it",0
"Brilliant screenplay and direction",1
"Boring and completely pointless",0
"Highly recommend this masterpiece",1
"Dull and lifeless acting",0
"Amazing visual effects and story",1
"Total waste of time and money",0
"One of the best films I have seen",1
"Disappointing and poorly written",0
"Thoroughly enjoyed every scene",1
"Terrible plot and bad acting",0
"Wonderful cinematic experience",1
"Not worth watching at all",0
"Incredible story and great cast",1
"Absolutely dreadful and boring",0
"Loved the direction and acting",1
"Very bad movie do not watch",0
"Superb storytelling and emotions",1
"Could not finish it was so bad",0
"Fantastic from start to finish",1
"Hated the script and everything",0
"Exceptional film loved every bit",1
"Very disappointing experience overall",0
"Outstanding performances all around",1
"Complete garbage not worth it",0
"Really enjoyed this beautiful film",1
"Awful movie terrible experience",0
"Heartwarming and beautifully made",1
"Dreadful waste of talent",0
"Magnificent and truly inspiring",1
"Boring predictable and poorly done",0
"Stunning cinematography loved it",1
"Worst experience in a cinema ever",0
"Moved me to tears so beautiful",1
"Nonsensical plot terrible movie",0
"Gripping and emotionally powerful",1
"Slow boring and uninteresting",0
"Loved the characters and story",1
"Dull uninspired and forgettable",0
"A true cinematic masterpiece",1
"Simply awful do not bother",0
"Charming delightful and fun",1
"Horribly written and acted badly",0
"Perfect movie I enjoyed it fully",1
"Painful to watch so very bad",0
